version,model,best_val_mse,test_mse,test_rmse
9.1.1,MLP,0.00012301816217026685,0.00013261385333667168,0.011515808844222436
9.2.1,ITRANSFORMER,0.00011654328467192733,0.00013323842852315269,0.011542895153433244
9.3.1,TABNET,0.00015783169450714652,0.00022734215013127797,0.015077869548821477
9.4.1,XGBOOST,0.0,0.0001246151077793911,0.01116311363875866
9.5.1,LIGHTGBM,0.0,0.00012475560833922307,0.011169405012766932
9.6.1,RF,0.0,0.00010550518791569734,0.010271571832767239
9.7.1,SVR,0.0,0.0029252911170444596,0.05408596044302495
9.8.1,GPR,0.0,0.0011731249648902664,0.034250911884069105
