version,model,best_val_mse,test_mse,test_rmse
2.1.1,MLP,0.0001094869958792651,0.00014572793403763577,0.012071782554272412
2.2.1,ITRANSFORMER,0.00011752314883136286,0.00014662493137320305,0.012108878204573827
2.3.1,TABNET,0.0001353808535824609,0.0011652768724391574,0.03413615198640815
2.4.1,XGBOOST,0.0,0.000115026647108607,0.010725047439336777
2.5.1,LIGHTGBM,0.0,0.00011362243892327787,0.01065938267083408
2.6.1,RF,0.0,9.386706241023979e-05,0.009688501556496741
2.7.1,SVR,0.0,0.0021275217515416226,0.046125066412327505
2.8.1,GPR,0.0,0.012797963910347739,0.1131280863019778
