version,model,best_val_mse,test_mse,test_rmse
4.1.1,MLP,8.979474904217791e-05,9.80578731703645e-05,0.009902417541709929
4.2.1,ITRANSFORMER,0.0001033432551455816,0.00011342272699308708,0.010650010656947113
4.3.1,TABNET,9.564736346787724e-05,0.00010113632803361561,0.01005665590709037
4.4.1,XGBOOST,0.0,9.159200999420136e-05,0.009570371359586716
4.5.1,LIGHTGBM,0.0,9.695858078302378e-05,0.009846754835123284
4.6.1,RF,0.0,5.6742884271367724e-05,0.007532787284356815
4.7.1,SVR,0.0,0.0026749991975829643,0.05172039440668414
4.8.1,GPR,0.0,0.00011975057803564914,0.01094306072521071
