version,model,best_val_mse,test_mse,test_rmse
3.1.1,MLP,8.364871098733118e-05,9.229620543366785e-05,0.009607091413829049
3.2.1,ITRANSFORMER,9.277207393887073e-05,0.0001027600441686123,0.01013706289655008
3.3.1,TABNET,9.254094270778849e-05,0.00010082946263585491,0.010041387485594553
3.4.1,XGBOOST,0.0,9.584970393916592e-05,0.009790286421775818
3.5.1,LIGHTGBM,0.0,9.877075027051705e-05,0.009938347461752232
3.6.1,RF,0.0,8.01400556359313e-05,0.008952097834358788
3.7.1,SVR,0.0,0.0030814985839936622,0.05551124736477881
3.8.1,GPR,0.0,0.00012079755697906694,0.010990794192371494
